"_defaultColorIndex","id","idx_T","mean","name"
"15","ab7zh7ta","50","0.8658020782572","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","ab7zh7ta","100","1.0502928843096002","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","ab7zh7ta","200","1.3620276661472","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","ab7zh7ta","800","2.3527532960194004","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"14","dtrrqo1e","50","0.8137597226548","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","dtrrqo1e","100","1.1385311346764002","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","dtrrqo1e","200","1.513916355357","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","dtrrqo1e","1000","3.1312188031285997","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"13","miei424r","50","0.8157712492232001","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","miei424r","100","1.2173849095871998","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","miei424r","200","1.7113305500412","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","miei424r","1000","3.4592392147596","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"0","yeewsgls","50","0.9660739195358716","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","yeewsgls","100","1.2485989858602822","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","yeewsgls","200","1.6684945716","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","yeewsgls","300","2.1821419233932002","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"