"Name","_wandb","attacked_z_score_roc_auc"
"core_algorithm-3_100_600_dipper_high_eval","","0.9901932140983988"
"core_simple_1_100_600_dipper_high_eval","","0.9872819972864492"
"core_simple_1_100_600_gen_cp_attack_1-25%_eval","","0.985382"
"core_simple_1_100_600_gen_cp_attack_3-25%_eval","","0.9846095"
"core_algorithm-3_100_600_gen_cp_attack_3-25%_eval","","0.972066"
"core_algorithm-3_100_600_gen_cp_attack_1-25%_eval","","0.96735"
"core_algorithm-3_50_200_dipper_high_eval","","0.9655157308495406"
"core_simple_1_50_200_dipper_high_eval","","0.9255698604417844"
"core_algorithm-3_100_600_gpt_p4_eval","","0.924650373650511"
"core_simple_1_100_600_gpt_p4_eval","","0.9227269595511334"
"core_simple_1_50_200_gen_cp_attack_1-25%_eval","","0.909171"
"core_algorithm-3_50_200_gpt_p4_eval","","0.9056114670416175"
"core_algorithm-3_50_200_gen_cp_attack_1-25%_eval","","0.9035955"
"core_simple_1_50_200_gen_cp_attack_3-25%_eval","","0.8969364999999999"
"core_algorithm-3_50_200_gen_cp_attack_3-25%_eval","","0.881188"
"core_simple_1_50_200_gpt_p4_eval","","0.8566863352541482"
"core_simple_1_100_600_gen_cp_attack_1-10%_eval","","0.8253365000000001"
"core_simple_1_100_600_gen_cp_attack_3-10%_eval","","0.819821"
"core_algorithm-3_100_600_gen_cp_attack_1-10%_eval","","0.8041940000000001"
"core_algorithm-3_100_600_gen_cp_attack_3-10%_eval","","0.7892600000000001"
"core_algorithm-3_50_200_gen_cp_attack_1-10%_eval","","0.7017905000000001"
"core_simple_1_50_200_gen_cp_attack_1-10%_eval","","0.6992944999999999"
"core_simple_1_50_200_gen_cp_attack_3-10%_eval","","0.6662885"
"core_algorithm-3_50_200_gen_cp_attack_3-10%_eval","","0.6488525"