"Name","_wandb","f_200p25m25_w_wm_output_attacked_num_tokens_scored_mean"
"core_simple_1_50_200_gpt_p4_eval","","189.34795042897997"
"core_simple_1_50_200_gen_cp_attack_3-25%_eval","","199.009"
"core_simple_1_50_200_gen_cp_attack_3-10%_eval","","199.006"
"core_simple_1_50_200_gen_cp_attack_1-25%_eval","","199.075"
"core_simple_1_50_200_gen_cp_attack_1-10%_eval","","199.064"
"core_simple_1_50_200_dipper_high_eval","","176.97807435653002"
"core_algorithm-3_50_200_gpt_p4_eval","","187.6672845227062"
"core_algorithm-3_50_200_gen_cp_attack_3-25%_eval","","196.997"
"core_algorithm-3_50_200_gen_cp_attack_3-10%_eval","","197.009"
"core_algorithm-3_50_200_gen_cp_attack_1-25%_eval","","197.072"
"core_algorithm-3_50_200_gen_cp_attack_1-10%_eval","","197.065"
"core_algorithm-3_50_200_dipper_high_eval","","173.15384615384616"