"Name","f_200p25m25_w_wm_output_z_score_mean","f_200p25m25_no_wm_output_vs_w_wm_output_p_sp_mean","_wandb"
"pile_uspto_opt-6-7b_gen_attacked_dipper_eval","9.93567673713278","0.5400003790855408",""
"core_algorithm-3_50_200_dipper_high_eval","10.057236083869284","0.4970589280128479",""
"pile_pubmed_opt-6-7b_gen_attacked_dipper_eval","10.012368824207703","0.4974544048309326",""
"pile_pubmed_opt-6-7b_gen_attacked_gpt_eval","10.012368824207703","0.4974544048309326",""
"pile_free_law_opt-6-7b_gen_attacked_dipper_eval","7.600257655469062","0.4139725267887115",""
"pile_uspto_llama-7b-base_gen_attacked_dipper_eval","7.951517813890161","0.5362389087677002",""
"core_simple_1_50_200_dipper_high_eval","9.193639906069787","0.4933556020259857",""
"pile_uspto_opt-6-7b_gen_attacked_gpt_eval","9.93567673713278","0.5400003790855408",""
"pile_pubmed_llama-7b-base_gen_attacked_gpt_eval","7.739720886326668","0.50077885389328",""
"core_algorithm-3_50_200_gpt_p4_eval","10.057236083869284","0.4970589280128479",""
"pile_pubmed_llama-7b-base_gen_attacked_dipper_eval","7.739720886326668","0.50077885389328",""
"pile_uspto_llama-7b-base_gen_attacked_gpt_eval","7.951517813890161","0.5362389087677002",""
"core_wikitext_llama-7b-base_gpt_p4_eval","9.793739213163164","0.4980974495410919",""
"pile_free_law_llama-7b-base_gen_attacked_dipper_eval","7.699818024227497","0.42490971088409424",""
"pile_free_law_opt-6-7b_gen_attacked_gpt_eval","7.600257655469062","0.4139725267887115",""
"core_simple_1_50_200_gpt_p4_eval","9.193639906069787","0.4933556020259857",""
"pile_github_opt-6-7b_gen_attacked_gpt_eval","4.022865868685571","0.5717088580131531",""
"pile_pubmed_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.3917681254105805","0.5789845585823059",""
"pile_pubmed_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.3917681254105805","0.5789845585823059",""
"pile_uspto_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.362766304397272","0.6324405670166016",""
"pile_uspto_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.362766304397272","0.6324405670166016",""
"pile_free_law_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.122158363214811","0.4984997510910034",""
"core_c4_llama-7b-base_gpt_p4_eval","9.14120850309969","0.5067554116249084",""
"pile_free_law_llama-7b-base_gen_attacked_gpt_eval","7.699818024227497","0.42490971088409424",""
"pile_free_law_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.122158363214811","0.4984997510910034",""
"pile_github_opt-6-7b_gen_attacked_dipper_eval","4.022865868685571","0.5717088580131531",""
"pile_github_llama-7b-base_gen_attacked_dipper_eval","4.7631465819024585","0.6598793864250183",""
"pile_github_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","3.2818430748128486","0.7041630148887634",""
"pile_github_llama-7b-base_gen_attacked_gpt_eval","4.7631465819024585","0.6598793864250183",""
"pile_github_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","3.2818430748128486","0.7041630148887634",""