"Name","cp_attack_effective_attack_percentage","attacked_run_len_chisqrd_statistic_roc_auc","_wandb"
"core_simple_1_100_600_gen_cp_attack_5-50%_eval","50","0.9337768175137092",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-2-pearson","95","0.535733",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-2-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-1-pearson","95","0.535733",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-1-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-0-pearson","95","0.535733",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-0-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-2-pearson","95","0.536921",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-2-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-1-pearson","95","0.536921",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-1-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-0-pearson","95","0.536921",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-0-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-2-pearson","95","0.611376",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-2-cressie_read","95","0.5909835",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-1-pearson","95","0.6251475",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-1-cressie_read","95","0.604325",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-0-pearson","95","0.5886382426931992",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-0-cressie_read","95","0.5704763553620895",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-2-pearson","95","0.5971455000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-2-cressie_read","95","0.5909835",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-1-pearson","95","0.611801",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-1-cressie_read","95","0.604325",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-0-pearson","95","0.5781859488947934",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-0-cressie_read","95","0.5704763553620895",""
"core_simple_1_100_600_gen_cp_attack_5-25%_eval","75","0.9084786095878796",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-2-pearson","90","0.655785",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-2-cressie_read","90","0.6641170000000001",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-1-pearson","90","0.655785",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-1-cressie_read","90","0.6641170000000001",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-0-pearson","90","0.655785",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-0-cressie_read","90","0.6641170000000001",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-2-pearson","90","0.658636",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-2-cressie_read","90","0.6641170000000001",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-1-pearson","90","0.658636",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-1-cressie_read","90","0.6641170000000001",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-0-pearson","90","0.658636",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-False-0-cressie_read","90","0.6641170000000001",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-2-pearson","90","0.7654774999999999",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-2-cressie_read","90","0.7471885",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-1-pearson","90","0.792313",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-1-cressie_read","90","0.776378",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-0-pearson","90","0.7549320022330263",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-True-0-cressie_read","90","0.7398255094974279",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-2-pearson","90","0.753188",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-2-cressie_read","90","0.7471885",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-1-pearson","90","0.782606",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-1-cressie_read","90","0.776378",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-0-pearson","90","0.747572644016055",""
"core_simple_1_100_600_gen_cp_attack_5-10%_F_succ_T_runs-max_plus_1-False-0-cressie_read","90","0.7398255094974279",""
"core_simple_1_100_600_gen_cp_attack_5-10%_eval","90","0.7549320022330263",""
"core_simple_1_100_600_gen_cp_attack_3-75%_eval","25","0.9376969797614336",""
"core_simple_1_100_600_gen_cp_attack_3-50%_eval","50","0.9335400884730624",""
"core_simple_1_100_600_gen_cp_attack_3-25%_eval","75","0.9112045268245804",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-2-pearson","90","0.702174",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-2-cressie_read","90","0.709829",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-1-pearson","90","0.702174",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-1-cressie_read","90","0.709829",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-0-pearson","90","0.702174",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-True-0-cressie_read","90","0.709829",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-2-pearson","90","0.704645",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-2-cressie_read","90","0.709829",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-1-pearson","90","0.704645",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-1-cressie_read","90","0.709829",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-0-pearson","90","0.704645",""
"core_simple_1_100_600_gen_cp_attack_3-10%_T_and_F_runs-max_plus_1-False-0-cressie_read","90","0.709829",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-2-pearson","90","0.7966329999999999",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-2-cressie_read","90","0.7780965",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-1-pearson","90","0.822212",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-1-cressie_read","90","0.8064089999999999",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-0-pearson","90","0.7821496586861891",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-True-0-cressie_read","90","0.7686777446435638",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-2-pearson","90","0.783165",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-2-cressie_read","90","0.7780965",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-1-pearson","90","0.8119835",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-1-cressie_read","90","0.8064089999999999",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-0-pearson","90","0.7751480439821359",""
"core_simple_1_100_600_gen_cp_attack_3-10%_F_succ_T_runs-max_plus_1-False-0-cressie_read","90","0.7686777446435638",""
"core_simple_1_100_600_gen_cp_attack_3-10%_eval","90","0.7821496586861891",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-2-pearson","95","0.487564",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-2-cressie_read","95","0.489251",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-1-pearson","95","0.487564",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-1-cressie_read","95","0.489251",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-0-pearson","95","0.487564",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-True-0-cressie_read","95","0.489251",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-2-pearson","95","0.48878199999999994",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-2-cressie_read","95","0.489251",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-1-pearson","95","0.48878199999999994",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-1-cressie_read","95","0.489251",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-0-pearson","95","0.48878199999999994",""
"core_simple_1_100_600_gen_cp_attack_20-5%_T_and_F_runs-max_plus_1-False-0-cressie_read","95","0.489251",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-2-pearson","95","0.5048585",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-2-cressie_read","95","0.5037795",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-1-pearson","95","0.5088239999999999",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-1-cressie_read","95","0.5089870000000001",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-0-pearson","95","0.4734112654757194",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-True-0-cressie_read","95","0.4743418402679631",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-2-pearson","95","0.504958",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-2-cressie_read","95","0.5037795",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-1-pearson","95","0.509777",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-1-cressie_read","95","0.5089870000000001",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-0-pearson","95","0.4751761334727797",""
"core_simple_1_100_600_gen_cp_attack_20-5%_F_succ_T_runs-max_plus_1-False-0-cressie_read","95","0.4743418402679631",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-2-pearson","95","0.487341",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-2-cressie_read","95","0.49275299999999994",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-1-pearson","95","0.487341",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-1-cressie_read","95","0.49275299999999994",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-0-pearson","95","0.487341",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-True-0-cressie_read","95","0.49275299999999994",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-2-pearson","95","0.490505",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-2-cressie_read","95","0.49275299999999994",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-1-pearson","95","0.490505",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-1-cressie_read","95","0.49275299999999994",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-0-pearson","95","0.490505",""
"core_simple_1_100_600_gen_cp_attack_10-5%_T_and_F_runs-max_plus_1-False-0-cressie_read","95","0.49275299999999994",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-2-pearson","95","0.550326",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-2-cressie_read","95","0.541381",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-1-pearson","95","0.5613675",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-1-cressie_read","95","0.55331",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-0-pearson","95","0.5322644899372491",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-True-0-cressie_read","95","0.5230090911018147",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-2-pearson","95","0.544441",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-2-cressie_read","95","0.541381",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-1-pearson","95","0.5567184999999999",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-1-cressie_read","95","0.55331",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-0-pearson","95","0.5275210759511562",""
"core_simple_1_100_600_gen_cp_attack_10-5%_F_succ_T_runs-max_plus_1-False-0-cressie_read","95","0.5230090911018147",""
"core_simple_1_100_600_gen_cp_attack_1-75%_eval","25","0.9379178090903952",""
"core_simple_1_100_600_gen_cp_attack_1-50%_eval","50","0.9346124356944996",""
"core_simple_1_100_600_gen_cp_attack_1-25%_eval","75","0.914051458533552",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-2-pearson","90","0.7272700000000001",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-2-cressie_read","90","0.732556",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-1-pearson","90","0.7272700000000001",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-1-cressie_read","90","0.732556",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-0-pearson","90","0.7272700000000001",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-True-0-cressie_read","90","0.732556",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-2-pearson","90","0.72837",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-2-cressie_read","90","0.732556",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-1-pearson","90","0.72837",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-1-cressie_read","90","0.732556",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-0-pearson","90","0.72837",""
"core_simple_1_100_600_gen_cp_attack_1-10%_T_and_F_runs-max_plus_1-False-0-cressie_read","90","0.732556",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-2-pearson","90","0.80512",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-2-cressie_read","90","0.7872865",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-1-pearson","90","0.828495",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-1-cressie_read","90","0.8136310000000001",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-0-pearson","90","0.7894953254847645",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-True-0-cressie_read","90","0.7768086805359263",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-2-pearson","90","0.7922819999999999",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-2-cressie_read","90","0.7872865",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-1-pearson","90","0.819184",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-1-cressie_read","90","0.8136310000000001",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-0-pearson","90","0.7831531071569902",""
"core_simple_1_100_600_gen_cp_attack_1-10%_F_succ_T_runs-max_plus_1-False-0-cressie_read","90","0.7768086805359263",""
"core_simple_1_100_600_gen_cp_attack_1-10%_eval","90","0.7894953254847645",""