"Name","cp_attack_effective_attack_percentage","attacked_winmax-1_z_score_roc_auc","_wandb"
"core_simple_1_100_600_gen_cp_attack_5-50%_eval","50","0.9982715",""
"core_simple_1_100_600_gen_cp_attack_5-5%_eval","95","0.6465394999999999",""
"core_simple_1_100_600_gen_cp_attack_5-25%_eval","75","0.986632",""
"core_simple_1_100_600_gen_cp_attack_5-10%_eval","90","0.836206",""
"core_simple_1_100_600_gen_cp_attack_3-75%_eval","25","0.9988035",""
"core_simple_1_100_600_gen_cp_attack_3-50%_eval","50","0.998082",""
"core_simple_1_100_600_gen_cp_attack_3-25%_eval","75","0.9921755",""
"core_simple_1_100_600_gen_cp_attack_3-10%_eval","90","0.8956545",""
"core_simple_1_100_600_gen_cp_attack_20-5%_eval","95","0.505192",""
"core_simple_1_100_600_gen_cp_attack_10-5%_eval","95","0.5815370000000001",""
"core_simple_1_100_600_gen_cp_attack_1-75%_eval","25","0.999074",""
"core_simple_1_100_600_gen_cp_attack_1-50%_eval","50","0.9982015",""
"core_simple_1_100_600_gen_cp_attack_1-25%_eval","75","0.996451",""
"core_simple_1_100_600_gen_cp_attack_1-10%_eval","90","0.954315",""