"Name","w_wm_output_attacked_z_score.mean","w_wm_output_vs_w_wm_output_attacked_p_sp.mean","_wandb"
"user_all_eval","4.853425109975102","0.9258056649794946",""
"user_12_eval","3.3453303364183564","0.869874894618988",""
"user_17_eval","2.9987513006743125","0.9170805215835572",""
"user_19_eval","3.218094052759006","0.9291946291923524",""
"user_18_eval","3.4551249179671877","0.9196293950080872",""
"user_16_eval","5.283019120645212","0.8883566856384277",""
"user_10_eval","4.82902239512619","0.8998602628707886",""
"user_22_eval","7.35804628080189","0.9424074292182922",""
"user_7_eval","6.1035720283543125","0.96079820394516",""
"user_3_eval","4.6335136326769","0.9293415546417236",""
"user_15_eval","12.223838276998851","0.9875102043151855",""
"user_24_eval","-0.3322277470925477","0.8860106468200684",""
"user_13_eval","0.46804663025144205","0.8556448817253113",""
"user_11_eval","5.2168578425606595","0.9319365620613098",""
"user_21_eval","4.512014698999875","0.8790574669837952",""