"Name","context_width","attacked_z_score_roc_auc","_wandb"
"scheme_simple_1_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.8543528106508876",""
"scheme_ff-skipgram_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.6802696117548173",""
"scheme_ff-skipgram_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.6784679178145088",""
"scheme_ff-skipgram_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.8030717587535414",""
"scheme_ff-skipgram_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.7394924554183814",""
"scheme_ff-skipgram_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.9069230877946748",""
"scheme_ff-skipgram_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.8404857807093427",""
"scheme_ff-skipgram_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.8905475784538334",""
"scheme_ff-skipgram_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.9297427948219122",""
"scheme_ff-minhash_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.8238761211149652",""
"scheme_ff-minhash_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.7929164211766686",""
"scheme_ff-minhash_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.8260234959060164",""
"scheme_ff-minhash_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.829461768295249",""
"scheme_ff-minhash_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.8804739631202574",""
"scheme_ff-minhash_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.8651984494409971",""
"scheme_ff-minhash_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.8858689860940914",""
"scheme_ff-minhash_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.916780236433181",""
"scheme_ff-anchored_skipgram_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.6733740938073194",""
"scheme_ff-anchored_skipgram_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.6239657257563989",""
"scheme_ff-anchored_skipgram_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.7869757920968317",""
"scheme_ff-anchored_skipgram_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.7791015089163238",""
"scheme_ff-anchored_skipgram_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.8773270986028043",""
"scheme_ff-anchored_skipgram_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.8242390825643533",""
"scheme_ff-anchored_skipgram_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.9062110431170184",""
"scheme_ff-anchored_skipgram_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.9046422456627674",""
"scheme_ff-anchored_minhash_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.8771039094650207",""
"scheme_ff-anchored_minhash_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.7600913531207726",""
"scheme_ff-anchored_minhash_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.9051604303872556",""
"scheme_ff-anchored_minhash_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.8270835688846176",""
"scheme_ff-anchored_minhash_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.9333138165329992",""
"scheme_ff-anchored_minhash_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.863468790549308",""
"scheme_ff-anchored_minhash_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.9615815149044376",""
"scheme_ff-anchored_minhash_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.8888503487879139",""
"scheme_ff-additive_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.6363424358425119",""
"scheme_ff-additive_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","8","0.6034274243601065",""
"scheme_ff-additive_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.757181369777828",""
"scheme_ff-additive_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.7259003468719337",""
"scheme_ff-additive_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.8631772268135904",""
"scheme_algorithm-3_0-25_2-0_gen_gpt_attacked_gpt_eval","4","0.9095986649561716",""
"scheme_ff-additive_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.9087876284418434",""
"scheme_ff-additive_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","1","0.8644212278106509",""
"scheme_ff-additive_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","2","0.8451222750234882",""