"Name","attacked_z_score_roc_auc","f_200p25m25_baseline_completion_vs_w_wm_output_p_sp_mean","_wandb"
"scheme_simple_1_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8543528106508876","0.4727199077606201",""
"scheme_ff-skipgram_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.6802696117548173","0.4845475256443024",""
"scheme_ff-skipgram_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.6784679178145088","0.4793644249439239",""
"scheme_ff-skipgram_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8030717587535414","0.4869031310081482",""
"scheme_ff-skipgram_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.7394924554183814","0.4845561385154724",""
"scheme_ff-skipgram_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9069230877946748","0.4678957462310791",""
"scheme_ff-skipgram_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8404857807093427","0.47639235854148865",""
"scheme_ff-skipgram_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8905475784538334","0.3721558153629303",""
"scheme_ff-skipgram_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9297427948219122","0.4633968770503998",""
"scheme_ff-minhash_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8238761211149652","0.46608930826187134",""
"scheme_ff-minhash_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.7929164211766686","0.4794975519180298",""
"scheme_ff-minhash_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8260234959060164","0.4370880722999573",""
"scheme_ff-minhash_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.829461768295249","0.4726715683937073",""
"scheme_ff-minhash_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8804739631202574","0.4144359827041626",""
"scheme_ff-minhash_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8651984494409971","0.4733101725578308",""
"scheme_ff-minhash_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8858689860940914","0.3721558153629303",""
"scheme_ff-minhash_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.916780236433181","0.4633968770503998",""
"scheme_ff-anchored_skipgram_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.6733740938073194","0.495074063539505",""
"scheme_ff-anchored_skipgram_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.6239657257563989","0.4925568699836731",""
"scheme_ff-anchored_skipgram_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.7869757920968317","0.48692119121551514",""
"scheme_ff-anchored_skipgram_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.7791015089163238","0.4881758987903595",""
"scheme_ff-anchored_skipgram_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8773270986028043","0.46230873465538025",""
"scheme_ff-anchored_skipgram_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8242390825643533","0.47466614842414856",""
"scheme_ff-anchored_skipgram_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9062110431170184","0.4069468379020691",""
"scheme_ff-anchored_skipgram_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9046422456627674","0.460900604724884",""
"scheme_ff-anchored_minhash_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8771039094650207","0.47077134251594543",""
"scheme_ff-anchored_minhash_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.7600913531207726","0.4850081205368042",""
"scheme_ff-anchored_minhash_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9051604303872556","0.4663292467594147",""
"scheme_ff-anchored_minhash_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8270835688846176","0.4843563437461853",""
"scheme_ff-anchored_minhash_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9333138165329992","0.4474455118179322",""
"scheme_ff-anchored_minhash_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.863468790549308","0.4745724499225617",""
"scheme_ff-anchored_minhash_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9615815149044376","0.42892852425575256",""
"scheme_ff-anchored_minhash_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8888503487879139","0.46581947803497314",""
"scheme_ff-additive_prf-8-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.6363424358425119","0.4885796308517456",""
"scheme_ff-additive_prf-8-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.6034274243601065","0.48804956674575806",""
"scheme_ff-additive_prf-4-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.757181369777828","0.4807092249393463",""
"scheme_ff-additive_prf-4-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.7259003468719337","0.4832207262516022",""
"scheme_ff-additive_prf-2-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8631772268135904","0.4658079743385315",""
"scheme_algorithm-3_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9095986649561716","0.4663292467594147",""
"scheme_ff-additive_prf-1-True_0-25_2-0_gen_gpt_attacked_gpt_eval","0.9087876284418434","0.435098797082901",""
"scheme_ff-additive_prf-1-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8644212278106509","0.4727199077606201",""
"scheme_ff-additive_prf-2-False_0-25_2-0_gen_gpt_attacked_gpt_eval","0.8451222750234882","0.4773674011230469",""