"Name","context_width","f_200p25m25_w_wm_output_log_diversity_mean","_wandb"
"scheme_simple_1_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.349437575148407",""
"scheme_ff-skipgram_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","9.666552801458703",""
"scheme_ff-skipgram_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","9.889295724725509",""
"scheme_ff-skipgram_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","8.639876399932042",""
"scheme_ff-skipgram_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","10.014620514040956",""
"scheme_ff-skipgram_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","6.1897931115543035",""
"scheme_ff-skipgram_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","8.063544051529705",""
"scheme_ff-skipgram_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","4.808402656644073",""
"scheme_ff-skipgram_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.4412893471068715",""
"scheme_ff-minhash_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","7.378632334090997",""
"scheme_ff-minhash_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","8.23345600025183",""
"scheme_ff-minhash_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","6.245658576559667",""
"scheme_ff-minhash_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","8.050744556645528",""
"scheme_ff-minhash_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","5.4060159503666",""
"scheme_ff-minhash_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","7.450713788163014",""
"scheme_ff-minhash_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","4.808402656644073",""
"scheme_ff-minhash_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.4412893471068715",""
"scheme_ff-anchored_skipgram_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","9.522484248218326",""
"scheme_ff-anchored_skipgram_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","10.163449023650736",""
"scheme_ff-anchored_skipgram_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","8.770774587666542",""
"scheme_ff-anchored_skipgram_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","9.497490342655071",""
"scheme_ff-anchored_skipgram_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","6.097535672546581",""
"scheme_ff-anchored_skipgram_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","8.249059006067435",""
"scheme_ff-anchored_skipgram_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","4.750658739513352",""
"scheme_ff-anchored_skipgram_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.173342911146374",""
"scheme_ff-anchored_minhash_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","7.564198198500202",""
"scheme_ff-anchored_minhash_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","9.13554511110227",""
"scheme_ff-anchored_minhash_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","6.402537153638907",""
"scheme_ff-anchored_minhash_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","8.28588162839954",""
"scheme_ff-anchored_minhash_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","5.624822080776611",""
"scheme_ff-anchored_minhash_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","7.005094443120088",""
"scheme_ff-anchored_minhash_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","5.14716232705312",""
"scheme_ff-anchored_minhash_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.223655432415257",""
"scheme_ff-additive_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","9.703182981644389",""
"scheme_ff-additive_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","10.293199949594843",""
"scheme_ff-additive_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","8.899553094294589",""
"scheme_ff-additive_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","9.427003311211626",""
"scheme_ff-additive_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","5.940545384505472",""
"scheme_ff-additive_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.349437575148407",""
"scheme_algorithm-3_0-25_4-0_gen_gpt_attacked_gpt_eval","4","6.402537153638907",""
"scheme_ff-additive_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","5.434996665178625",""
"scheme_ff-additive_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","8.315199721912359",""