"Name","f_200p25m25_w_wm_output_z_score_mean","f_200p25m25_w_wm_output_log_diversity_mean","_wandb"
"scheme_simple_1_0-25_2-0_gen_eval","9.154517701632011","7.062260093717104",""
"scheme_ff-anchored_minhash_prf-1-True_0-25_4-0_gen_eval","16.30520570643942","5.14716232705312",""
"scheme_simple_1_0-1_2-0_gen_eval","8.903746699040463","7.045434987214952",""
"scheme_ff-anchored_minhash_prf-1-True_0-25_2-0_gen_eval","9.666355354006802","6.33938087809471",""
"scheme_ff-skipgram_prf-4-False_0-5_4-0_gen_eval","10.477429439164402","8.511528405998298",""
"scheme_ff-anchored_minhash_prf-3-True_0-25_4-0_gen_eval","16.81351587528094","5.945290325507575",""
"scheme_ff-minhash_prf-4-False_0-5_2-0_gen_eval","6.946855853273661","7.732349804384298",""
"scheme_ff-anchored_minhash_prf-3-True_0-5_2-0_gen_eval","7.955318668689918","6.775774526593495",""
"scheme_ff-skipgram_prf-4-False_0-1_2-0_gen_eval","8.344919897297983","7.751964690469109",""
"scheme_simple_1_0-25_4-0_gen_eval","16.539055129779648","6.349437575148407",""
"scheme_ff-anchored_minhash_prf-3-True_0-1_1-0_gen_eval","3.2668488384396546","7.245292814387931",""
"scheme_ff-anchored_minhash_prf-3-True_0-1_2-0_gen_eval","8.136818549191288","6.936946160513497",""
"scheme_ff-anchored_minhash_prf-2-True_0-25_4-0_gen_eval","17.101732348974895","5.624822080776611",""
"scheme_ff-anchored_minhash_prf-3-True_0-5_1-0_gen_eval","5.23078076949699","7.133898171429947",""
"scheme_simple_1_0-25_1-0_gen_eval","4.582550692474549","7.295947349714559",""
"scheme_ff-skipgram_prf-4-False_0-1_1-0_gen_eval","3.356238014289342","7.348279451128907",""
"scheme_ff-skipgram_prf-4-False_0-5_1-0_gen_eval","4.090758012107845","7.50898024329259",""
"scheme_ff-anchored_minhash_prf-1-True_0-25_1-0_gen_eval","5.228055714179151","6.924199259026171",""
"scheme_ff-anchored_minhash_prf-2-True_0-5_4-0_gen_eval","11.049752864306068","6.311630149662535",""
"scheme_ff-minhash_prf-4-False_0-1_1-0_gen_eval","3.010275835677702","7.3532593670497555",""
"scheme_ff-anchored_minhash_prf-1-True_0-5_4-0_gen_eval","10.712348700539424","5.989863040179023",""
"scheme_ff-minhash_prf-4-False_0-5_1-0_gen_eval","3.770012569757179","7.380921900547978",""
"scheme_ff-skipgram_prf-4-False_0-25_1-0_gen_eval","4.113964687034047","7.37569966399347",""
"scheme_ff-anchored_minhash_prf-3-True_0-5_4-0_gen_eval","10.854675345997537","6.682906953744371",""
"scheme_simple_1_0-1_4-0_gen_eval","21.232558827038527","5.922124165054682",""
"scheme_ff-anchored_minhash_prf-2-True_0-1_1-0_gen_eval","3.2511504064772416","7.191605972930294",""
"scheme_simple_1_0-5_2-0_gen_eval","7.177446613471602","7.154554892820336",""
"scheme_ff-skipgram_prf-4-False_0-25_2-0_gen_eval","8.750812402049377","7.834308878233282",""
"scheme_ff-minhash_prf-4-False_0-25_4-0_gen_eval","16.099852098196255","8.050744556645528",""
"scheme_ff-anchored_minhash_prf-2-True_0-1_4-0_gen_eval","22.15763115911746","5.192436409678565",""
"scheme_ff-skipgram_prf-4-False_0-5_2-0_gen_eval","7.06581056368958","7.831690060120589",""
"scheme_ff-anchored_minhash_prf-2-True_0-25_2-0_gen_eval","10.24944393270022","6.583805330448154",""
"scheme_ff-anchored_minhash_prf-2-True_0-25_1-0_gen_eval","5.752001040769529","6.828968757991188",""
"scheme_ff-anchored_minhash_prf-2-True_0-5_1-0_gen_eval","5.64811723992369","6.989267001364445",""
"scheme_ff-anchored_minhash_prf-2-True_0-5_2-0_gen_eval","8.34080304755461","6.653474812491782",""
"scheme_simple_1_0-5_4-0_gen_eval","10.470084390817751","7.0064201483343425",""
"scheme_ff-minhash_prf-4-False_0-25_2-0_gen_eval","8.535473066507691","7.594110253526992",""
"scheme_ff-minhash_prf-4-False_0-1_4-0_gen_eval","20.569513835254423","7.552313602650254",""
"scheme_ff-anchored_minhash_prf-2-True_0-1_2-0_gen_eval","8.532766514517016","6.785657751524246",""
"scheme_ff-skipgram_prf-4-False_0-1_4-0_gen_eval","21.031676486568063","9.51958418735469",""
"scheme_ff-anchored_minhash_prf-1-True_0-5_2-0_gen_eval","7.7690316362691805","6.524848873177853",""
"scheme_ff-skipgram_prf-4-False_0-25_4-0_gen_eval","16.062670334192042","10.014620514040956",""
"scheme_ff-minhash_prf-4-False_0-1_2-0_gen_eval","8.055465053652755","7.502847351981431",""
"scheme_simple_1_0-5_1-0_gen_eval","4.000685869079089","7.346332678553984",""
"scheme_ff-minhash_prf-4-False_0-25_1-0_gen_eval","3.779363244372481","7.21975388494336",""
"scheme_ff-minhash_prf-4-False_0-5_4-0_gen_eval","10.33923105143453","8.089613784220578",""
"scheme_ff-anchored_minhash_prf-3-True_0-25_1-0_gen_eval","5.658646986467145","6.951110957170703",""
"scheme_ff-anchored_minhash_prf-3-True_0-1_4-0_gen_eval","21.11436636326254","5.617655113640121",""
"scheme_simple_1_0-1_1-0_gen_eval","3.823445242896522","7.242036318637949",""
"scheme_ff-anchored_minhash_prf-3-True_0-25_2-0_gen_eval","10.146793600049945","6.641112739609226",""